id,prompt,model,aspect_ratio,resolution
art_001,[반 고흐 별이 빛나는 밤] Transform the uploaded image into Vincent van Gogh's Starry Night style. Swirling night sky with bold circular brushstrokes in deep blue and vibrant yellow. Thick impasto texture visible in every stroke. Cypresses rendered as dark flame-like forms. Maintain the subject's recognizable features while applying expressive post-impressionist treatment. Dreamlike luminous atmosphere with visible brush direction throughout.,Nano Banana Pro,4:3,2K
art_002,[모네 수련] Reimagine the scene in Claude Monet's Water Lilies style. Soft impressionist brushwork with dappled light on water surface. Pastel palette of soft pinks greens and blues. Reflections dissolving into abstract color patches. Loose flowing brushstrokes suggesting rather than defining forms. Ethereal morning light atmosphere with gentle color harmonies.,Nano Banana Pro,16:9,2K
art_003,[클림트 황금] Transform into Gustav Klimt's golden period style. Elaborate gold leaf patterns and geometric decorative elements. Byzantine-inspired mosaic backgrounds with spirals and eye motifs. Rich jewel tones of deep red emerald and sapphire against gold. Flat decorative treatment with ornate symbolic patterns. Art Nouveau elegance with sensual flowing lines.,Nano Banana Pro,3:4,2K
art_004,[피카소 큐비즘] Render in Pablo Picasso's analytical cubism style. Fragmented geometric planes showing multiple viewpoints simultaneously. Monochromatic palette of browns grays and muted ochres. Angular intersecting shapes deconstructing form. Bold black outlines defining fractured segments. Intellectual visual analysis of three-dimensional form on flat surface.,Nano Banana Pro,1:1,2K
art_005,[호쿠사이 파도] Recreate in Katsushika Hokusai's ukiyo-e woodblock print style. The Great Wave composition with dramatic curling foam fingers. Traditional Japanese color palette of Prussian blue and white. Flat areas of color with precise outlines. Mount Fuji visible in background if appropriate. Woodgrain texture visible throughout. Edo period artistic sensibility.,Nano Banana Pro,16:9,2K
art_006,[뭉크 절규] Transform into Edvard Munch's expressionist style. Wavy distorted lines creating psychological tension. Vivid orange and red sunset sky with dark blue water. Anguished emotional intensity through color and form. Simplified figures with mask-like faces. Thick visible brushstrokes conveying inner turmoil. Nordic melancholy atmosphere.,Nano Banana Pro,9:16,2K
art_007,[르누아르 인물화] Render in Pierre-Auguste Renoir's impressionist portrait style. Soft feathery brushstrokes with warm flesh tones. Dappled sunlight filtering through foliage. Rosy cheeks and luminous skin quality. Informal intimate composition. Rich saturated colors with gentle transitions. Bourgeois Parisian elegance and joie de vivre atmosphere.,Nano Banana Pro,3:4,2K
art_008,[달리 초현실] Transform into Salvador Dali's surrealist style. Melting distorted forms in impossible landscapes. Hyper-realistic rendering of dreamlike impossible objects. Vast desert perspectives with elongated shadows. Symbolic elements like melting clocks ants or elephants. Meticulous detail in fantastical scenes. Subconscious imagery made tangible.,Nano Banana Pro,16:9,2K
art_009,[지브리 애니메이션] Transform into Studio Ghibli animation style. Soft watercolor-like backgrounds with detailed natural environments. Hayao Miyazaki aesthetic with lush greenery and dramatic skies. Clean character linework with expressive eyes. Warm nostalgic color palette. Whimsical fantasy elements integrated naturally. Hand-painted cel animation quality with visible texture.,Nano Banana Pro,16:9,2K
art_010,[픽사 3D 캐릭터] Render as Pixar-style 3D animated character. Stylized proportions with expressive large eyes. Smooth subsurface scattering skin shader. Appealing character design with clear silhouette. Warm rim lighting and soft shadows. Clean topology with subtle asymmetry for charm. Family-friendly aesthetic with emotional depth.,Nano Banana Pro,1:1,2K
art_011,[디즈니 클래식] Transform into classic Disney hand-drawn animation style. Fluid elegant linework with graceful poses. Rich saturated colors with painterly backgrounds. Expressive character animation principles applied. Golden age Disney aesthetic circa 1950s. Romantic fairytale atmosphere. Soft glowing highlights on hair and eyes.,Nano Banana Pro,16:9,2K
art_012,[수채화 일러스트] Delicate watercolor illustration style. Transparent color washes with visible paper texture. Soft wet-on-wet bleeding edges. Limited palette with harmonious color choices. Loose expressive brushwork capturing essence. White paper showing through as highlights. Gentle dreamy atmospheric quality.,Nano Banana Pro,4:5,2K
art_013,[잉크 라인아트] Black ink line art illustration. Clean confident pen strokes with varying line weight. Cross-hatching for shadows and depth. Negative space used effectively. Comic book influence with dynamic composition. High contrast black on white. Detailed linework in focal areas loose in background.,Nano Banana Pro,1:1,2K
art_014,[보태니컬 아트] Scientific botanical illustration style. Precise detailed rendering of natural subjects. Watercolor with fine brushwork showing every detail. Natural history museum documentation aesthetic. Latin nomenclature labels if appropriate. Cream aged paper background. Educational yet artistic treatment.,Nano Banana Pro,3:4,2K
