번호,이미지명,Aspect Ratio,프롬프트
1,비즈니스 포멀,1:1,"Transform the person in the uploaded image into a professional business portrait. Keep the facial features exactly consistent. Dress them in a professional navy blue business suit with a crisp white shirt. Background: Clean, solid dark gray studio backdrop with subtle gradient, slightly lighter behind the subject. Lighting: Classic three-point lighting setup with soft shadows on face and rim light separating shoulders from background. Natural skin texture with visible pores, natural catchlights in eyes. Professional headshot composition."
2,비즈니스 캐주얼,4:5,"Transform the person in the uploaded image into a business casual portrait. Keep the facial features exactly consistent. Dress them in a light blue oxford shirt with sleeves slightly rolled up, no tie. Background: Modern office environment with soft bokeh, neutral tones. Lighting: Soft natural window light from the side creating gentle shadows. Relaxed but confident expression, slight smile. Clean and approachable professional look."
3,스타트업 크리에이티브,1:1,"Transform the person in the uploaded image into a startup/creative professional portrait. Keep the facial features exactly consistent. Dress them in a casual black t-shirt or simple sweater. Background: Bright, minimal white or light gray wall with subtle texture. Lighting: Even, soft lighting with minimal shadows. Friendly, approachable expression with genuine smile. Modern tech company aesthetic."
4,링크드인 프로페셔널,1:1,"Transform the person in the uploaded image into a LinkedIn professional headshot. Keep the facial features exactly consistent. Dress them in a charcoal gray blazer over a white or light blue shirt. Background: Solid, clean background in soft blue or neutral gray. Lighting: Bright, even studio lighting. Confident, trustworthy expression with professional smile showing warmth. Sharp focus on face, suitable for profile picture."
5,기업 임원,3:4,"Transform the person in the uploaded image into a corporate executive portrait. Keep the facial features exactly consistent. Dress them in a premium dark charcoal suit with subtle pinstripes, silk tie, and white dress shirt. Background: Luxurious executive office with bookshelf or city skyline view, softly blurred. Lighting: Dramatic but professional lighting emphasizing authority. Confident, commanding presence with serious yet approachable expression."
6,테크 개발자,1:1,"Transform the person in the uploaded image into a tech developer portrait. Keep the facial features exactly consistent. Dress them in a comfortable hoodie or casual crew neck sweater in dark colors. Background: Modern workspace with monitors or code visible in soft blur, or clean minimal background. Lighting: Natural, casual lighting. Friendly, focused expression. Authentic Silicon Valley developer aesthetic."
7,크리에이티브 디렉터,4:5,"Transform the person in the uploaded image into a creative director portrait. Keep the facial features exactly consistent. Dress them in fashionable all-black attire - black turtleneck or designer shirt. Background: Artistic studio space or gallery-like setting with minimal decoration. Lighting: Dramatic side lighting creating artistic shadows. Thoughtful, artistic expression. High-fashion editorial style portrait."
8,의료 전문가,1:1,"Transform the person in the uploaded image into a medical professional portrait. Keep the facial features exactly consistent. Dress them in a clean white lab coat over business casual attire, with stethoscope around neck. Background: Clean, bright medical office or hospital setting, softly blurred. Lighting: Bright, clinical lighting conveying cleanliness and trust. Warm, caring expression with professional confidence."
9,법률 전문가,3:4,"Transform the person in the uploaded image into a legal professional portrait. Keep the facial features exactly consistent. Dress them in a traditional dark navy or black suit with conservative tie, crisp white shirt. Background: Law office with leather-bound books or wooden paneling, elegantly blurred. Lighting: Warm, traditional lighting. Serious, trustworthy expression conveying competence and reliability."
10,학계 교수,4:5,"Transform the person in the uploaded image into an academic professor portrait. Keep the facial features exactly consistent. Dress them in a tweed blazer with elbow patches or smart casual academic attire, optional glasses. Background: University office with bookshelves, academic papers, or campus setting. Lighting: Warm, intellectual atmosphere lighting. Thoughtful, wise expression with approachable warmth."
11,금융 전문가,1:1,"Transform the person in the uploaded image into a finance professional portrait. Keep the facial features exactly consistent. Dress them in a premium navy pinstripe suit with power tie in red or burgundy, French cuff shirt. Background: Modern financial district office or trading floor aesthetic, blurred. Lighting: Sharp, professional lighting. Confident, sharp expression conveying success and competence."
12,컨설턴트,3:4,"Transform the person in the uploaded image into a management consultant portrait. Keep the facial features exactly consistent. Dress them in a well-tailored gray or navy suit, no tie or subtle tie, modern fit. Background: Clean, modern corporate meeting room or minimalist office. Lighting: Bright, even professional lighting. Approachable yet authoritative expression, ready to solve problems."
