id,prompt,model,aspect_ratio,resolution
exp_001,[멀티버스 직업] Create a 2x3 grid showing 6 parallel universe versions of the person in the uploaded image. Each panel shows them in a different career path they could have taken: 1) Rock star on stage with guitar 2) Surgeon in operating room 3) Astronaut on moon surface 4) Street food vendor in night market 5) Buddhist monk in temple 6) Fashion model on runway. Same face perfectly preserved in each realistic scenario. Small label below each panel indicating the profession.,Nano Banana Pro,3:4,2K
exp_002,[만약에 시리즈] Split image showing two contrasting life paths of the uploaded person. LEFT SIDE labeled "IF I STUDIED": successful CEO in corner office with city view wearing expensive suit. RIGHT SIDE labeled "IF I FOLLOWED MY HEART": happy street musician playing guitar surrounded by smiling crowd. Same person both sides with accurate facial features. Cinematic lighting both scenarios.,Nano Banana Pro,16:9,2K
exp_003,[평행우주 미팅] The person from uploaded image meets 5 alternate versions of themselves from parallel universes sitting around a round table in a surreal void space. Each version has slightly different style: punk rocker self goth self corporate self hippie self and athlete self. All have the exact same face but different expressions and outfits. Dramatic spotlight lighting.,Nano Banana Pro,16:9,2K
exp_004,[선택의 갈림길] Surreal image of the uploaded person standing at a crossroads where 4 different paths lead to 4 different futures visible in the distance: luxury mansion path forest cabin path space station path underwater city path. Person shown from behind contemplating choices. Each path has distinct lighting and atmosphere. Dreamlike composition.,Nano Banana Pro,16:9,2K
exp_005,[1000개의 나] Massive crowd scene where every single person in the crowd of 1000 is the same person from uploaded image but in different outfits ages and poses. Some waving some talking some sleeping. Birds eye view of a plaza filled entirely with clones. Wes Anderson symmetrical composition.,Nano Banana Pro,1:1,2K
exp_006,[다른 행성의 나] Grid of 4 panels showing the uploaded person as they would appear if born on different planets. Panel 1: Mars colonist in red dust storm with breathing mask. Panel 2: Ocean planet with gills and blue skin. Panel 3: High gravity planet short and muscular. Panel 4: Low gravity planet tall and slender. Sci-fi realistic rendering.,Nano Banana Pro,1:1,2K
exp_007,[0세부터 100세] Single horizontal timeline image showing the uploaded person aging from baby to 100 years old in 10 stages. Left to right: 0 10 20 30 40 50 60 70 80 90 100 years old. Same background throughout showing bedroom transforming with era-appropriate items. Consistent facial features recognizable at every age. Documentary photography style.,Nano Banana Pro,21:9,2K
exp_008,[4계절 인생] Four vertical panels representing the uploaded person in four seasons of life. SPRING (childhood): playing in cherry blossoms. SUMMER (youth): surfing at beach. AUTUMN (middle age): reading in golden leaf park. WINTER (elderly): peaceful by fireplace with grandchildren. Same person at different ages. Warm nostalgic film photography.,Nano Banana Pro,16:9,2K
exp_009,[하루의 나] 24-panel grid showing the uploaded person throughout a single day from midnight to midnight. Each panel is one hour showing different activities: sleeping eating commuting working exercising etc. Clock visible in each panel. Time-lapse documentary style. Realistic daily life moments.,Nano Banana Pro,1:1,2K
exp_010,[과거 현재 미래] Triptych image. LEFT: uploaded person as they might have looked 50 years ago in 1970s clothing and setting with vintage color grading. CENTER: person as they are now in contemporary setting. RIGHT: person 50 years in future with subtle aging and futuristic environment. Seamless visual flow between eras.,Nano Banana Pro,21:9,2K
exp_011,[성장 앨범] Nostalgic photo album page layout with 6 realistic photos of uploaded person: baby photo kindergarten graduation elementary school middle school high school and current. Each photo has era-appropriate styling photo quality and fashion. Yellowed album page background with handwritten dates.,Nano Banana Pro,4:3,2K
exp_012,[회고록 표지] Autobiography book cover featuring uploaded person at multiple ages layered artistic composition. Title "A Life Well Lived" with elegant typography. Faded younger versions in background current version prominent. Prestigious memoir book design. Sepia tones with selective color.,Nano Banana Pro,3:4,2K
exp_013,[역사적 순간] The uploaded person realistically composited into the famous "Lunch atop a Skyscraper" 1932 photograph sitting among the construction workers on the beam high above New York City. Authentic period clothing. Seamless black and white integration matching original photo grain and contrast.,Nano Banana Pro,16:9,2K
exp_014,[우드스톡 1969] Uploaded person as a hippie at Woodstock 1969 music festival. Authentic flower crown peace signs tie-dye clothing. Mud dancing crowd in background. Vintage film photography with light leaks. Period-accurate details. Joyful expression. Documentary style candid moment.,Nano Banana Pro,4:3,2K
exp_015,[조선시대 어진] Traditional Joseon dynasty royal portrait of uploaded person as a king or queen. Formal seated pose wearing elaborate hanbok and royal crown. Traditional Korean painting style on silk. Gold and red color scheme. Royal seal stamp. Museum artifact quality.,Nano Banana Pro,3:4,2K
exp_016,[르네상스 초상화] Uploaded person as Renaissance nobility painted by a Dutch master. Elaborate period costume with ruff collar and jewels. Dark background with dramatic Rembrandt lighting. Oil painting texture with visible brushstrokes. Ornate gilded frame visible. Museum masterpiece quality.,Nano Banana Pro,3:4,2K
exp_017,[1920 플래퍼] Uploaded person as a 1920s flapper at a speakeasy jazz club. Sequined dress finger waves hairstyle long cigarette holder. Art deco interior background. Sepia toned vintage photograph. Roaring twenties glamour and rebellion. Grainy old photograph aesthetic.,Nano Banana Pro,3:4,2K
exp_018,[GTA 로딩스크린] Grand Theft Auto game loading screen style illustration featuring uploaded person as main character. Signature Rockstar Games art style with bold colors and sharp contrasts. Action pose with city skyline background. Multiple character vignettes in triangular composition. Game logo space at top.,Nano Banana Pro,16:9,2K
exp_019,[RPG 캐릭터 선택] Video game character selection screen UI showing uploaded person as 6 different RPG classes. Top row: Warrior Knight Mage. Bottom row: Rogue Healer Archer. Each class has appropriate costume weapons and stance. Stats bars below each. Fantasy game UI frame. Glowing selection highlight on one character.,Nano Banana Pro,16:9,2K
exp_020,[포켓몬 카드] Pokemon trading card featuring uploaded person as a Pokemon trainer. Holographic rare card design with sparkle effects. Stats HP and moves listed. Card number and rarity symbols. Trainer standing with Pokemon silhouettes. Official Pokemon TCG layout. Japanese text optional.,Nano Banana Pro,3:4,2K
exp_021,[FIFA 카드] FIFA Ultimate Team player card featuring uploaded person as professional football player. Dynamic action pose in national team jersey. Overall rating stats pace shooting passing. Card tier design (gold rare). Stadium background. EA Sports official card layout.,Nano Banana Pro,3:4,2K
